"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,38.2,27.4,0.368613138686131
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,27.7,18.1,0.510948905109489
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,33.5,19.3,0.456204379562044
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,40.5,29.9,0.153284671532847
"5",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,41.3,33.1,0.372262773722628
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,45.9,38.6,0.197080291970803
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,43.2,30.5,0.656934306569343
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,33,19.1,0.5
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,32.9,18.2,0.383211678832117
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,28.9,14.7,0.354014598540146
"11",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,36.5,25.6,0.81021897810219
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,45.7,42.5,0.22992700729927
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,25.5,4.8,0.591240875912409
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,29.4,11.2,0.448905109489051
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,30.9,10.8,0.605839416058394
"16",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,28,11.8,0.737226277372263
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,34.5,27.9,0.062043795620438
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,33.5,21.2,0.576642335766423
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,42.2,36.4,0.854014598540146
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,43,36.7,0.62043795620438
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,35,24.4,0.660583941605839
"22",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,41.3,36.8,0.529197080291971
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,37.8,27.3,0.35036496350365
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,45,39,0.116788321167883
"25",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,47.6,43.1,0.788321167883212
"26",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,43.2,32.2,0.77007299270073
"27",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,42.6,37.8,0.288321167883212
"28",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,51.6,49.4,0.397810218978102
"29",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,40.8,38.4,0.39051094890511
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,32.3,23.3,0.193430656934307
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,36.4,31.4,0.00364963503649635
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,33.1,27.8,0.259124087591241
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,33.5,28,0.135036496350365
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,31.5,21.3,0.445255474452555
"35",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,19.3,4.2,0.467153284671533
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,44.5,41.7,0.41970802919708
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,41.5,35.8,0.0912408759124088
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,36,23.1,0.335766423357664
"39",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,34.7,21.7,0.116788321167883
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,42.8,36.4,0.200729927007299
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,41.8,31.7,0.41970802919708
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,36.5,26.3,0.448905109489051
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,46.9,43.7,0.583941605839416
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,51,47.1,0.594890510948905
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,42.8,31.7,0.0328467153284672
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,47.8,40.9,0.423357664233577
"47",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2016,43.2,29,0.591240875912409
"48",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,45.7,38.8,0.558394160583942
"49",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,29.9,11.8,0.456204379562044
"50",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,33.9,26.2,0.675182481751825
"51",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016,34.8,22.6,0.368613138686131
"52",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016,33.2,18.7,0
"53",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2016,36.8,26.1,0.259124087591241
"54",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2016,44.4,36.5,0.481751824817518
"55",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,46.4,41.8,0.583941605839416
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,49.6,43.8,0.470802919708029
"57",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,46.8,42.9,0.627737226277372
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016,41.2,35.4,0.456204379562044
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2016,43.8,33.8,0.510948905109489
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2016,48.3,45.7,0.394160583941606
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,45.2,41.9,0.470802919708029
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,45.4,42.5,0.408759124087591
"63",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,47,37,0.525547445255474
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016,40,21.4,0.145985401459854
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2016,37.4,32,0.427007299270073
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2016,40.8,23.9,0.467153284671533
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,48.6,40.2,0.441605839416058
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,45.1,38.1,0.492700729927007
"69",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,50.8,48.5,0.167883211678832
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016,44.8,37.6,0.109489051094891
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2016,45.1,41.4,0.576642335766423
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2016,48.6,34.9,0.667883211678832
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,43.4,24.8,0.547445255474453
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,51,44.6,0.554744525547445
"75",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,54.8,52.5,0.737226277372263
"76",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,50.4,47.7,0.354014598540146
"77",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,41.7,32.9,0.31021897810219
"78",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,36.5,22.1,0.667883211678832
