"","Apr","Aug","Feb","Jan","Jul","Jun","Mar","May","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,40.3,29.9,0.357352941176471
"2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,39.6,28.9,0.466176470588235
"3",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,45.8,42.9,0.527941176470588
"4",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,45.4,43.9,0.373529411764706
"5",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,40.1,33.8,0.283823529411765
"6",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,33.5,24,0.532352941176471
"7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,39,26.6,0.454411764705882
"8",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,37.2,31.1,0.526470588235294
"9",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,29.5,10.8,0.623529411764706
"10",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,39.7,32.2,0.627941176470588
"11",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,49.4,46.1,0.507352941176471
"12",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,52,49.4,0.432352941176471
"13",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,42.5,37,0.558823529411765
"14",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,41.5,37.7,0.594117647058824
"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,43.9,38.3,0.607352941176471
"16",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,40.4,34.3,0.667647058823529
"17",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,27.1,10.8,0.694117647058824
"18",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,23.5,14.3,1
"19",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,41.2,35.8,0.392647058823529
"20",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,28.1,16.1,0.435294117647059
"21",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,27.8,15.2,0.677941176470588
"22",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,27.1,14.3,0.582352941176471
"23",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,32.3,26.5,0.525
"24",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,37.3,33.7,0.632352941176471
"25",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,43.1,39.6,0.426470588235294
"26",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,44.3,40.7,0.444117647058824
"27",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,40.1,33.8,0.526470588235294
"28",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,39.4,28.8,0.457352941176471
"29",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,35.3,22.5,0.585294117647059
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,31.6,19.4,0.630882352941176
"31",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,29.8,22.3,0.623529411764706
"32",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,39.7,35.2,0.464705882352941
"33",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,38.5,33,0.435294117647059
"34",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,38.8,32.1,0.683823529411765
"35",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,42.2,39.4,0.545588235294118
"36",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,41,35.8,0.498529411764706
"37",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,41.6,37.8,0.663235294117647
"38",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,46.3,43.6,0.751470588235294
"39",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,34.2,19.7,0.548529411764706
"40",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,33.1,21.6,0.408823529411765
"41",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,43.5,37.7,0.702941176470588
"42",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,44.1,42.8,0.536764705882353
"43",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,40.7,29.4,0.507352941176471
"44",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,41.3,38,0.602941176470588
"45",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,33.8,24.6,0.791176470588235
"46",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,22.8,12.1,0.510294117647059
"47",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,37.9,29.8,0.432352941176471
"48",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,38.5,29.4,0.361764705882353
"49",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,37.2,30.1,0.489705882352941
"50",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,44,34,0.564705882352941
"51",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,31.4,11.5,0.522058823529412
"52",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,27.7,13.6,0.602941176470588
"53",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,34.9,20.3,0.461764705882353
"54",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,39.9,33.7,0.438235294117647
"55",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,41.1,36.7,0.588235294117647
"56",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,44,41.8,0.636764705882353
"57",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,44.5,42.8,0.523529411764706
"58",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,44.6,39.4,0.717647058823529
"59",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,36.4,17.4,0.641176470588235
"60",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,34.1,16.6,0.533823529411765
"61",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,28.7,11.6,0.485294117647059
"62",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,36.3,24,0.689705882352941
"63",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,46.4,41.6,0.672058823529412
"64",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,46.7,39.6,0.658823529411765
"65",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,43.5,30.3,0.639705882352941
"66",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,40,32.5,0.852941176470588
"67",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,34.3,24.3,0.620588235294118
"68",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,38.6,22.8,0.463235294117647
"69",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,44.7,38.2,0.664705882352941
"70",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,46.3,41.4,0.523529411764706
"71",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,47.2,39.3,0.558823529411765
"72",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,40.6,35.3,0.532352941176471
"73",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,46.4,43.3,0.673529411764706
"74",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,45.3,32.8,0.407352941176471
