"","day","mo","temp","dewp","max","min","NUM_COLLISIONS"
"2826",4,3,41.2,33.6,46.9,36,0.138235294117647
"2827",5,3,47.6,36.5,59,35.1,0.15
"2828",6,3,42.3,33,59,30,0.132352941176471
"2829",7,3,44.8,41.2,53.1,30,0.0779411764705882
"2830",1,3,44.7,42.2,48.9,39.9,0.104411764705882
"2831",2,3,39.4,32.1,48.9,34,0.0941176470588235
"2832",3,4,39.9,30.6,44.1,34,0.0897058823529412
"2833",4,4,42,38,45,37.9,0.107352941176471
"2834",5,4,43.7,41.9,45,33.1,0.142647058823529
"2835",6,4,42.3,38.4,45,39,0.0911764705882353
"2836",7,4,41.8,36.3,50,35.1,0
"2837",1,4,46.7,37.8,55,37,0.0485294117647059
"2838",2,4,49,34.1,57.9,41,0.0529411764705882
"2839",3,4,46.5,43,57.9,43,0.0455882352941176
"2840",4,4,43,41.5,51.1,30,0.0147058823529412
"2841",5,4,45.1,30.4,51.1,30,0.0323529411764706
"2842",6,4,44.1,30.8,51.1,39.9,0.0411764705882353
"2843",7,4,45.9,31.8,53.1,36,0.0191176470588235
"2844",1,4,51.6,48.9,57,36,0.0647058823529412
"2845",2,4,50.5,42.1,57,43,0.0617647058823529
"2846",3,4,44.7,39.1,48,42.8,0.0661764705882353
"2847",4,4,43.7,30.9,52,32,0.0647058823529412
"2848",5,4,42.2,20.9,52,32,0.0941176470588235
"2849",6,4,41,37,46.9,36,0.0470588235294118
"2850",7,4,44.3,35.7,52,37,0.0132352941176471
"2851",1,4,46.8,39.4,52,37,0.0691176470588235
"2852",2,4,42.4,33,52,28.9,0.0397058823529412
"2853",3,4,42,25.3,51.1,28.9,0.0808823529411765
"2854",4,4,42.8,20.9,48.9,36,0.0220588235294118
"2855",5,4,46.3,42.8,50,36,0.116176470588235
"2856",6,4,47.7,36.3,59,39.9,0.0867647058823529
"2857",7,4,45.3,40.9,59,39.9,0.0691176470588235
"2858",1,4,46.3,34,52,39.9,0.0558823529411765
"2859",2,4,41.8,28.8,50,39,0.135294117647059
"2860",3,4,46.9,35.8,55,37,0.0647058823529412
"2861",4,4,46.8,41.4,55,37,0.117647058823529
"2862",5,5,51.3,49.1,55.9,43,0.136764705882353
"2863",6,5,51.4,43,61,43,0.139705882352941
"2864",7,5,51.3,45.8,61,46.9,0.108823529411765
"2865",1,5,56.3,46.2,69.1,46.9,0.117647058823529
"2866",2,5,51.5,36.4,69.1,46,0.119117647058824
"2867",3,5,45.6,37.8,57,37,0.133823529411765
